#Software: SHOUTcast
#Version: 2.6.0.750
#Fields: c-ip c-dns date time cs-uri-stem c-status cs(User-Agent) sc-bytes x-duration avgbandwidth
198.23.201.246 198.23.201.246 2019-10-05 22:10:59 /stream?title=Unknown 200 Mozilla%2F5.0%20%28Windows%20NT%2010.0%3B%20Win64%3B%20x64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F77.0.3865.90%20Safari%2F537.36 350592 6 467456
79.196.50.88 79.196.50.88 2019-10-05 22:17:12 /stream?title=Unknown 200 WinampMPEG%2F5.09 504960 16 252480
91.250.85.211 91.250.85.211 2019-10-05 22:21:49 /stream?title=Unknown 200 Ruby 41992 0 0
187.113.212.240 187.113.212.240 2019-10-05 22:32:08 /stream?title=The%20Beatles%20-%20A%20Day%20in%20the%20Life 200 VLC%20media%20player 534912 18 237738
79.184.151.221 79.184.151.221 2019-10-05 22:42:37 /stream?title=Unknown 200 Hi 263978112 16513 127888
71.199.198.77 71.199.198.77 2019-10-06 00:33:27 /stream?title=Everlast%20-%20What%20It%27s%20Like 200 iTunes%2F12.10%20%28Windows%3B%20Microsoft%20Windows%2010%20x64%20Home%20Premium%20Edition%20%28Build%2018362%29%3B%20x64%29%20AppleWebKit%2F7607.3009.0.19 1040256 50 166440
191.36.245.7 191.36.245.7 2019-10-06 00:35:28 /stream?title=Unknown 200 Hi 35232384 2322 121386
71.199.198.77 71.199.198.77 2019-10-06 00:35:39 /stream?title=Everlast%20-%20What%20It%27s%20Like 200 iTunes%2F12.10%20%28Windows%3B%20Microsoft%20Windows%2010%20x64%20Home%20Premium%20Edition%20%28Build%2018362%29%3B%20x64%29%20AppleWebKit%2F7607.3009.0.19 1259520 63 159939
71.199.198.77 71.199.198.77 2019-10-06 00:35:47 /stream?title=Supertramp%20-%20Rudy 200 iTunes%2F12.10%20%28Windows%3B%20Microsoft%20Windows%2010%20x64%20Home%20Premium%20Edition%20%28Build%2018362%29%3B%20x64%29%20AppleWebKit%2F7607.3009.0.19 141696 8 141696
71.199.198.77 71.199.198.77 2019-10-06 00:35:50 /stream?title=Everlast%20-%20What%20It%27s%20Like 200 iTunes%2F12.10%20%28Windows%3B%20Microsoft%20Windows%2010%20x64%20Home%20Premium%20Edition%20%28Build%2018362%29%3B%20x64%29%20AppleWebKit%2F7607.3009.0.19 74112 0 0
71.199.198.77 71.199.198.77 2019-10-06 00:36:09 /stream?title=Supertramp%20-%20Rudy 200 iTunes%2F12.10%20%28Windows%3B%20Microsoft%20Windows%2010%20x64%20Home%20Premium%20Edition%20%28Build%2018362%29%3B%20x64%29%20AppleWebKit%2F7607.3009.0.19 482944 19 203344
